,,,,,,0 K,298.15 K (25 °C) and 0.1 Mpa (1 bar),,,,,
HClO4,in 4.0 H2O,,,,100.4586,-,-122.72,-,-,-,-,
HClO4,in 4.5 H2O,,,,100.4586,-,-124.52,-,-,-,-,
HClO4,in 5.0 H2O,,,,100.4586,-,-126.23,-,-,-,-,
HClO4,in 6.0 H2O,,,,100.4586,-,-127.82,-,-,-,-,
HClO4,in 8.0 H2O,,,,100.4586,-,-129.29,-,-,-,-,
HClO4,in 10 H2O,,,,100.4586,-,-129.79,-,-,-,-,
HClO4,in 12 H2O,,,,100.4586,-,-130.00,-,-,-,-,
HClO4,in 15 H2O,,,,100.4586,-,-130.12,-,-,-,-,
HClO4,in 20 H2O,,,,100.4586,-,-130.04,-,-,-,-,
HClO4,in 25 H2O,,,,100.4586,-,-129.96,-,-,-,-,
HClO4,in 30 H2O,,,,100.4586,-,-129.87,-,-,-,-,
HClO4,in 40 H2O,,,,100.4586,-,-129.66,-,-,-,-,
HClO4,in 50 H2O,,,,100.4586,-,-129.54,-,-,-,-,
HClO4,in 75 H2O,,,,100.4586,-,-129.33,-,-,-,-,
HClO4,in 100 H2O,,,,100.4586,-,-129.24,-,-,-,-,
HClO4,in 200 H2O,,,,100.4586,-,-129.08,-,-,-,-,
HClO4,in 500 H2O,,,,100.4586,-,-129.03,-,-,-,-,
HClO4,in 1000 H2O,,,,100.4586,-,-129.03,-,-,-,-,
HClO4,in 3000 H2O,,,,100.4586,-,-129.08,-,-,-,-,
HClO4,in 7000 H2O,,,,100.4586,-,-129.12,-,-,-,-,
HClO4,in 10000 H2O,,,,100.4586,-,-129.16,-,-,-,-,
HClO4,in 20000 H2O,,,,100.4586,-,-129.20,-,-,-,-,
HClO4,in 100000 H2O,,,,100.4586,-,-129.24,-,-,-,-,
HClO4,in ∞ H2O,,,,100.4586,-,-129.33,-,-,-,-,
HClO4·H2O,,,,cr,118.4740,-,-382.21,-,-,-,-,
HClO4·2H2O,,,,l,136.4894,-,-677.98,-,-,-,-,
ClF,,,,g,54.4514,-54.4,-54.48,-55.94,8.899,217.89,32.05,
ClF3,,,,l,92.4482,-,-189.5,-,-,-,-,
ClF3,,,,g,92.4482,-159.0,-163.2,-123.0,13.648,281.61,63.85,
ClF3<sup>+</sup>,,,,g,92.4482,1061.5,1063.6,-,-,-,-,
(ClF3)2,,,,g,184.8964,-,-339.3,-237.1,-,490.,-,
ClO3F,,,,g,102.4496,-15.1,-23.8,48.2,13.301,278.97,64.94,
ClF3·HF,,,,g,112.4546,-,-450.6,-384.0,-,360.,-,
Table 11:Br,,,,,,,,,,,,
Bromine (Prepared 1964),,,,,,,,,,,,
Br,,,,g,79.9090,117.943,111.884,82.396,6.197,175.022,20.786,
Br<sup>+</sup>,,,,g,79.9090,1257.794,1257.932,-,6.197,-,-,
Br<sup>2+</sup>,,,,g,79.9090,3361.4,3367.7,-,-,6.197,-,
Br<sup>3+</sup>,,,,g,79.9090,6824.,6837.,-,6.197,-,-,
Br<sup>4+</sup>,,,,g,79.9090,11389.,11410.,-,6.197,-,-,
Br<sup>5+</sup>,,,,g,79.9090,17150.,17175.,-,6.197,-,-,
Br<sup>-</sup>,,,,g,79.9090,-206.82,-219.07,-,6.197,-,-,
Br<sup>-</sup>,,,,ao,79.9090,-,-121.55,-103.96,-,82.4,-141.8,
Br2,,,,cr,159.8180,0,-,-,-,-,-,
Br2,,,,l,159.8180,-,0,0,24.514,152.231,75.689,
Br2,,,,g,159.8180,45.702,30.907,3.110,9.719,245.463,36.02,
Br2,,,,ao,159.8180,-,-2.59,3.93,-,130.5,-,
Br2,in CCl4:x,,,,159.8180,-,2.97,1.51,-,157.3,-,
Br2,in CH3COOH:u in acetic acid,,,,159.8180,-,-1.05,-,-,-,-,
Br2,in CS2:u,,,,159.8180,-,0.04,-,-,-,-,
Br2,in CHCl3:u,,,,159.8180,-,2.72,-,-,-,-,
Br2,in C7F16:x in n-perfluoroheptane,,,,159.8180,-,16.3,-7.5,-,231.8,-,
Br2<sup>+</sup>,,,,g,159.8180,1064.4,1056.0,-,-,-,-,
Br3<sup>-</sup>,,,,ao,239.7270,-,-130.42,-107.05,-,215.5,-,
Br5<sup>-</sup>,,,,ao,399.5450,-,-142.3,-103.7,-,316.7,-,
BrO,,,,g,95.9084,133.5,125.77,108.22,8.91,237.55,32.09,
BrO<sup>-</sup>,,,,ao,95.9084,-,-94.1,-33.4,-,42.,-,
BrO2,,,,cr,111.9078,-,48.5,-,-,-,-,
BrO3<sup>-</sup>,,,,ao,127.9072,-,-67.07,18.60,-,161.71,-,
BrO4<sup>-</sup>,,,,ao,143.9066,-,13.0,118.1,-,199.6,-,
HBr,,,,g,80.9170,-28.560,-36.40,-53.45,8.648,198.695,29.142,
HBr,,,,ai,80.9170,-,-121.55,-103.96,-,82.4,-141.8,
HBr,in 1.0 H2O,,,,80.9170,-,-72.72,-,-,-,-,
HBr,in 1.5 H2O,,,,80.9170,-,-85.86,-,-,-,-,
HBr,in 2.0 H2O,,,,80.9170,-,-93.72,-,-,-,-,
HBr,in 2.5 H2O,,,,80.9170,-,-99.37,-,-,-,-,
HBr,in 3.0 H2O,,,,80.9170,-,-103.26,-,-,-,-,
HBr,in 4.0 H2O,,,,80.9170,-,-108.621,-,-,-,-,
HBr,in 4.5 H2O,,,,80.9170,-,-110.437,-,-,-,-,
HBr,in 5.0 H2O,,,,80.9170,-,-111.738,-,-,-,-,
HBr,in 6.0 H2O,,,,80.9170,-,-113.583,-,-,-,-,
HBr,in 8.0 H2O,,,,80.9170,-,-115.683,-,-,-,-,
HBr,in 10 H2O,,,,80.9170,-,-116.955,-,-,-,-,
HBr,in 12 H2O,,,,80.9170,-,-117.734,-,-,-,-,
HBr,in 15 H2O,,,,80.9170,-,-118.436,-,-,-,-,
HBr,in 20 H2O,,,,80.9170,-,-119.077,-,-,-,-,
HBr,in 25 H2O,,,,80.9170,-,-119.411,-,-,-,-,
HBr,in 30 H2O,,,,80.9170,-,-119.641,-,-,-,-,
HBr,in 40 H2O,,,,80.9170,-,-119.959,-,-,-,-,
HBr,in 50 H2O,,,,80.9170,-,-120.160,-,-,-,-,
HBr,in 75 H2O,,,,80.9170,-,-120.416,-,-,-,-,
HBr,in 100 H2O,,,,80.9170,-,-120.562,-,-,-,-,
HBr,in 150 H2O,,,,80.9170,-,-120.721,-,-,-,-,
HBr,in 200 H2O,,,,80.9170,-,-120.809,-,-,-,-,
HBr,in 300 H2O,,,,80.9170,-,-120.918,-,-,-,-,
HBr,in 400 H2O,,,,80.9170,-,-120.980,-,-,-,-,
HBr,in 500 H2O,,,,80.9170,-,-121.026,-,-,-,-,
HBr,in 600 H2O,,,,80.9170,-,-121.064,-,-,-,-,
HBr,in 700 H2O,,,,80.9170,-,-121.093,-,-,-,-,
HBr,in 800 H2O,,,,80.9170,-,-121.118,-,-,-,-,
HBr,in 900 H2O,,,,80.9170,-,-121.139,-,-,-,-,
HBr,in 1000 H2O,,,,80.9170,-,-121.160,-,-,-,-,
HBr,in 1500 H2O,,,,80.9170,-,-121.223,-,-,-,-,
HBr,in 2000 H2O,,,,80.9170,-,-121.261,-,-,-,-,
HBr,in 3000 H2O,,,,80.9170,-,-121.311,-,-,-,-,
HBr,in 4000 H2O,,,,80.9170,-,-121.340,-,-,-,-,
HBr,in 5000 H2O,,,,80.9170,-,-121.361,-,-,-,-,
HBr,in 7000 H2O,,,,80.9170,-,-121.390,-,-,-,-,
HBr,in 10000 H2O,,,,80.9170,-,-121.415,-,-,-,-,
HBr,in 20000 H2O,,,,80.9170,-,-121.453,-,-,-,-,
HBr,in 50000 H2O,,,,80.9170,-,-121.491,-,-,-,-,
HBr,in 100000 H2O,,,,80.9170,-,-121.508,-,-,-,-,
HBr,in ∞ H2O,,,,80.9170,-,-121.55,-,-,-,-,
HBr,in C4H10:x in n-butane,,,,80.9170,-,-49.4,-44.8,-,126.4,-,
HBr,in C6H6:x,,,,80.9170,-,-54.0,-46.8,-,117.6,-,
